time, lat, lon, altitude, battery_min, acc_avg, acc_max, rollspeed_fused_max, pitchspeed_fused_max, yawspeed_fused_max, trigger_noisy_acc, trigger_gps_missed_beat
613459286.807466, -35.3630527, 149.1651282, 688.075, 88, 0.9594122889202152, 0.9698793739429661, 0.008000113070011139, 0.04208051785826683, 0.02357657626271248, 0, 0
613459287.789708, -35.363018600000004, 149.16512684999998, 688.545, 88, 1.0012786917493888, 1.0137879462688437, 0.047637928277254105, 0.009636932983994484, 0.06637993454933167, 0, 0
613459288.800714, -35.3629804, 149.1651254, 689.345, 88, 1.0109059971939747, 1.0150970396962056, 0.028203917667269707, 0.0038544696290045977, 0.06471093744039536, 0, 0
613459289.806583, -35.36293795, 149.1651192, 690.6600000000001, 88, 1.0155485267618307, 1.0174694098595791, 0.0007762261666357517, 0.02484334260225296, 0.04748186469078064, 0, 0
613459290.7885768, -35.362892650000006, 149.1651062, 692.38, 87, 1.0091357914848333, 1.0116763316397195, 0.016299258917570114, 0.046262528747320175, 0.012139138765633106, 0, 0
613459291.7957768, -35.3628474, 149.16508705, 694.24, 87, 1.007668883232685, 1.013274395215827, 0.036325786262750626, 0.04016118124127388, 0.01245456375181675, 0, 0
613459292.799703, -35.36280475, 149.16506485, 695.97, 87, 1.0090591745769872, 1.0111997824366854, 0.04565427079796791, 0.021087072789669037, 0.05201674997806549, 0, 0
613459293.811728, -35.36276565, 149.1650439, 697.395, 87, 1.0070201401531682, 1.0095573287337376, 0.0323798730969429, 0.006540213245898485, 0.03831135854125023, 0, 0
613459294.795671, -35.362728950000005, 149.1650275, 698.375, 87, 1.0044817364771792, 1.0080089285318856, 0.001308890525251627, 0.017136987298727036, 0.009063980542123318, 0, 0
613459295.80371, -35.362692550000006, 149.16501655000002, 698.905, 86, 0.9866611996695545, 0.9910403624474635, 0.016375746577978134, 0.020872529596090317, 0.0018278926145285368, 0, 0
613459296.816702, -35.3626548, 149.16500904999998, 699, 86, 1.0009155666145009, 1.0010844120252798, 0.02254708856344223, 0.008203709498047829, 0.03556894510984421, 0, 0
613459297.791736, -35.3626152, 149.16500205, 698.905, 86, 1.0057570509992244, 1.0062613974509804, 0.016780823469161987, 0.004225317854434252, 0.035243920981884, 0, 0
613459298.8057148, -35.362573499999996, 149.16499285, 698.9449999999999, 86, 1.0102343565763832, 1.0122455235761727, 0.007962191477417946, 0.008258545771241188, 0.02318790927529335, 0, 0
613459299.8167078, -35.3625303, 149.1649804, 699.33, 86, 1.0032844465117896, 1.0038495903271565, 0.0004484490491449833, 0.016363361850380898, 0.014295874163508415, 0, 0
613459300.791321, -35.3624865, 149.16496475, 700.185, 85, 1.0007115467908871, 1.0013440967020277, 0.007317887619137764, 0.019910145550966263, 0.0011876106727868319, 0, 0
613459301.798728, -35.362443150000004, 149.16494695, 701.5250000000001, 85, 1.0038914201684175, 1.00401992012111, 0.016043096780776978, 0.01957343891263008, 0.013867922127246857, 0, 0
613459302.806701, -35.3624007, 149.1649286, 703.28, 85, 0.9980973904735375, 0.9984122395083105, 0.012323105707764626, 0.008924219757318497, 0.025346945971250534, 0, 0
613459303.805709, -35.3623595, 149.16491125, 705.245, 85, 1.0004114584977652, 1.0019650692514186, 0.007774475496262312, 0.00031089974800124764, 0.02213464304804802, 0, 0
