Version|5
Timestamp Start|20120221_190637
Timestamp Ende|20120221_190657
Triggernummer|3140
Trigger-Timestamp|20120221_190647
DD-Sensor|03B00055U
Konfiguration|03B00055U_20111122_113546.dcf
Triggergrund|Verzoegerung
GPS Start|20120221_190637|51.02978000|13.75716000
GPS Ende|20120221_190657|51.03359600|13.75015800
GPS Trigger|20120221_190648|51.03326300|13.75030300
GPS alt|||
Zeit|Signal|Wert|Einheit
0.05700|Bremse_Pedal_S_1|nicht betaetigt|---
0.05700|ESP_E|regelt nicht|---
0.05700|ESP_KL|aus|
0.05700|Rad_n_VL|401.00000000|1/min
0.05700|Rad_n_VL_1|401.00000000|1/min
0.05700|Rad_n_VR|401.00000000|1/min
0.06000|DR_Gierrate|0.24414062|°/s
0.06000|DR_a_x|-0.04400000|g
0.06000|DR_a_y|0.00800000|g
0.06000|DR_a_z|1.07600000|g
0.06000|Gang_Getriebe|3|---
0.06000|Gang_Wahl|3|---
0.06000|Zusatz_GW_Werkstatt_KL|aus|
0.06000|Zusatz_Gang_Anzeige_KI|m 3|---
0.06000|ESP_S_1|aktiv|---
0.06000|Motor_n|2274.00000000|1/min
0.06300|GW_ESP_KL|aus|
0.06300|Gaspedal_W|0.00000000|%
0.06300|Zusatz_Kickdown|nicht betaetigt|---
0.06400|Motor_KL|aus|
0.06400|Zusatz_GW_Batterie_WL|aus|
0.06400|Zusatz_GW_KuehlMtemp_WL|aus|
0.06400|Zusatz_GW_Oeldruck_WL|aus|
0.06500|Airbag_WL|aus|---
0.06500|Airbag_WL_1|aus|---
0.06500|Gurt_VL|gesteckt|---
0.06500|Zusatz_GW_Gurt_WL|aus|
0.06500|Lenkrad_W_B|3.98580000|°
0.06500|Lenkrad_W_R|links|---
0.06500|Lenkrad_W_v_B|4.80700000|°/s
0.06500|Lenkrad_W_v_R|rechts|°/s
0.06900|Blinker_L_S|aus|---
0.06900|Blinker_R_S|aus|---
0.06900|Blinker_Warnblinker_S|aus|---
0.06900|Licht_Abblend_S|an|---
0.06900|Licht_Fern_S|aus|---
0.06900|Licht_Hupe_S|aus|---
0.06900|Licht_Nebelschluss_S|aus|---
0.06900|Licht_Stand_S|an|---
0.06900|Zusatz_GW_Gurt_WL_1|aus|
0.06900|Zusatz_GW_Nebelschluss_KL|aus|
0.07000|ESP_S_1|aktiv|---
0.07000|Motor_n|2268.00000000|1/min
0.07500|Lenkrad_W_B|3.98580000|°
0.07500|Lenkrad_W_R|links|---
0.07500|Lenkrad_W_v_B|4.80700000|°/s
0.07500|Lenkrad_W_v_R|rechts|°/s
0.07500|FZ_Gierrate|0.55000000|°/s
0.07500|FZ_a_y_1|-0.07364000|g
0.07600|ABS_E_1|regelt nicht|---
0.07600|Bremse_Pedal_S_2|nicht betaetigt|---
0.07600|FZ_a_y|-0.06100000|g
0.07600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.07600|ABS_E|regelt nicht|---
0.07600|Bremse_Pedal_S|nicht betaetigt|---
0.07700|ESP_E_1|regelt nicht|---
0.07700|ESP_S|aktiv|
0.07700|Rad_n_HL|402.00000000|1/min
0.07700|Rad_n_HR|402.00000000|1/min
0.07700|Zusatz_Bremse_Moment|0.00000000|
0.07700|ABS_WL|aus|---
0.07700|Bremse_DOT_S|ok|---
0.07700|Bremse_Hand|geloest|---
0.07700|Bremse_Pedal_S_1|nicht betaetigt|---
0.07700|ESP_E|regelt nicht|---
0.07700|ESP_KL|aus|
0.07700|Rad_n_VL|401.50000000|1/min
0.07700|Rad_n_VL_1|401.50000000|1/min
0.07700|Rad_n_VR|401.50000000|1/min
0.07900|Gang_Getriebe|3|---
0.07900|Gang_Wahl|3|---
0.07900|Zusatz_GW_Werkstatt_KL|aus|
0.07900|Zusatz_Gang_Anzeige_KI|m 3|---
0.08000|DR_Gierrate|0.24414062|°/s
0.08000|DR_a_x|-0.10000000|g
0.08000|DR_a_y|0.02800000|g
0.08000|DR_a_z|1.03600000|g
0.08000|ESP_S_1|aktiv|---
0.08000|Motor_n|2270.00000000|1/min
0.08300|GW_ESP_KL|aus|
0.08300|Gaspedal_W|0.00000000|%
0.08300|Zusatz_Kickdown|nicht betaetigt|---
0.08400|Motor_KL|aus|
0.08400|Zusatz_GW_Batterie_WL|aus|
0.08400|Zusatz_GW_KuehlMtemp_WL|aus|
0.08400|Zusatz_GW_Oeldruck_WL|aus|
0.08500|Airbag_WL|aus|---
0.08500|Airbag_WL_1|aus|---
0.08500|Gurt_VL|gesteckt|---
0.08500|Zusatz_GW_Gurt_WL|aus|
0.08500|Lenkrad_W_B|3.98580000|°
0.08500|Lenkrad_W_R|links|---
0.08500|Lenkrad_W_v_B|4.80700000|°/s
0.08500|Lenkrad_W_v_R|rechts|°/s
0.08900|Blinker_L_S|aus|---
0.08900|Blinker_R_S|aus|---
0.08900|Blinker_Warnblinker_S|aus|---
0.08900|Licht_Abblend_S|an|---
0.08900|Licht_Fern_S|aus|---
0.08900|Licht_Hupe_S|aus|---
0.08900|Licht_Nebelschluss_S|aus|---
0.08900|Licht_Stand_S|an|---
0.08900|Zusatz_GW_Gurt_WL_1|aus|
0.08900|Zusatz_GW_Nebelschluss_KL|aus|
0.08900|ESP_S_1|aktiv|---
0.08900|Motor_n|2268.00000000|1/min
0.09500|Lenkrad_W_B|3.98580000|°
0.09500|Lenkrad_W_R|links|---
0.09500|Lenkrad_W_v_B|4.80700000|°/s
0.09500|Lenkrad_W_v_R|rechts|°/s
0.09500|FZ_Gierrate|0.45000000|°/s
0.09500|FZ_a_y_1|-0.01930000|g
0.09600|ABS_E_1|regelt nicht|---
0.09600|Bremse_Pedal_S_2|nicht betaetigt|---
0.09600|FZ_a_y|-0.03520000|g
0.09600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.09600|ABS_E|regelt nicht|---
0.09600|Bremse_Pedal_S|nicht betaetigt|---
0.09700|ESP_E_1|regelt nicht|---
0.09700|ESP_S|aktiv|
0.09700|Rad_n_HL|401.00000000|1/min
0.09700|Rad_n_HR|400.50000000|1/min
0.09700|Zusatz_Bremse_Moment|0.00000000|
0.09700|ABS_WL|aus|---
0.09700|Bremse_DOT_S|ok|---
0.09700|Bremse_Hand|geloest|---
0.09700|Bremse_Pedal_S_1|nicht betaetigt|---
0.09700|ESP_E|regelt nicht|---
0.09700|ESP_KL|aus|
0.09700|Rad_n_VL|400.00000000|1/min
0.09700|Rad_n_VL_1|400.00000000|1/min
0.09700|Rad_n_VR|400.50000000|1/min
0.09700|Gang_Getriebe|3|---
0.09700|Gang_Wahl|3|---
0.09700|Zusatz_GW_Werkstatt_KL|aus|
0.09700|Zusatz_Gang_Anzeige_KI|m 3|---
0.10000|DR_Gierrate|0.24414062|°/s
0.10000|DR_a_x|-0.06000000|g
0.10000|DR_a_y|0.04800000|g
0.10000|DR_a_z|0.98000000|g
0.10000|Batterie_U|14.20000000|V
0.10000|FZ_v|43.70000000|km/h
0.10000|KM|28852.00000000|km
0.10000|ESP_S_1|aktiv|---
0.10000|Motor_n|2272.00000000|1/min
0.10300|GW_ESP_KL|aus|
0.10300|Gaspedal_W|0.00000000|%
0.10300|Zusatz_Kickdown|nicht betaetigt|---
0.10400|Motor_KL|aus|
0.10400|Zusatz_GW_Batterie_WL|aus|
0.10400|Zusatz_GW_KuehlMtemp_WL|aus|
0.10400|Zusatz_GW_Oeldruck_WL|aus|
0.10500|Airbag_WL|aus|---
0.10500|Airbag_WL_1|aus|---
0.10500|Gurt_VL|gesteckt|---
0.10500|Zusatz_GW_Gurt_WL|aus|
0.10500|Lenkrad_W_B|3.98580000|°
0.10500|Lenkrad_W_R|links|---
0.10500|Lenkrad_W_v_B|4.80700000|°/s
0.10500|Lenkrad_W_v_R|rechts|°/s
0.10900|Blinker_L_S|aus|---
0.10900|Blinker_R_S|aus|---
0.10900|Blinker_Warnblinker_S|aus|---
0.10900|Licht_Abblend_S|an|---
0.10900|Licht_Fern_S|aus|---
0.10900|Licht_Hupe_S|aus|---
0.10900|Licht_Nebelschluss_S|aus|---
0.10900|Licht_Stand_S|an|---
0.10900|Zusatz_GW_Gurt_WL_1|aus|
0.10900|Zusatz_GW_Nebelschluss_KL|aus|
0.11000|Temperatur_Aussen|3.00000000|°C
0.11000|Zusatz_Licht_Instrumente|70.00000000|%
0.11000|ESP_S_1|aktiv|---
0.11000|Motor_n|2278.00000000|1/min
0.11500|Lenkrad_W_B|3.98580000|°
0.11500|Lenkrad_W_R|links|---
0.11500|Lenkrad_W_v_B|4.80700000|°/s
0.11500|Lenkrad_W_v_R|rechts|°/s
0.11500|FZ_Gierrate|0.17500000|°/s
0.11500|FZ_a_y_1|-0.00383000|g
0.11600|ABS_E_1|regelt nicht|---
0.11600|Bremse_Pedal_S_2|nicht betaetigt|---
0.11600|FZ_a_y|0.01640000|g
0.11600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.11600|ABS_E|regelt nicht|---
0.11600|Bremse_Pedal_S|nicht betaetigt|---
0.11700|ESP_E_1|regelt nicht|---
0.11700|ESP_S|aktiv|
0.11700|Rad_n_HL|400.50000000|1/min
0.11700|Rad_n_HR|401.50000000|1/min
0.11700|Zusatz_Bremse_Moment|0.00000000|
0.11700|ABS_WL|aus|---
0.11700|Bremse_DOT_S|ok|---
0.11700|Bremse_Hand|geloest|---
0.11700|Bremse_Pedal_S_1|nicht betaetigt|---
0.11700|ESP_E|regelt nicht|---
0.11700|ESP_KL|aus|
0.11700|Rad_n_VL|399.00000000|1/min
0.11700|Rad_n_VL_1|399.00000000|1/min
0.11700|Rad_n_VR|398.50000000|1/min
0.12000|DR_Gierrate|0.24414062|°/s
0.12000|DR_a_x|-0.04400000|g
0.12000|DR_a_y|0.02400000|g
0.12000|DR_a_z|0.90800000|g
0.12000|Gang_Getriebe|3|---
0.12000|Gang_Wahl|3|---
0.12000|Zusatz_GW_Werkstatt_KL|aus|
0.12000|Zusatz_Gang_Anzeige_KI|m 3|---
0.12000|ESP_S_1|aktiv|---
0.12000|Motor_n|2278.00000000|1/min
0.12300|GW_ESP_KL|aus|
0.12300|Gaspedal_W|0.00000000|%
0.12300|Zusatz_Kickdown|nicht betaetigt|---
0.12400|Motor_KL|aus|
0.12400|Zusatz_GW_Batterie_WL|aus|
0.12400|Zusatz_GW_KuehlMtemp_WL|aus|
0.12400|Zusatz_GW_Oeldruck_WL|aus|
0.12500|Airbag_WL|aus|---
0.12500|Airbag_WL_1|aus|---
0.12500|Gurt_VL|gesteckt|---
0.12500|Zusatz_GW_Gurt_WL|aus|
0.12500|Lenkrad_W_B|3.98580000|°
0.12500|Lenkrad_W_R|links|---
0.12500|Lenkrad_W_v_B|4.80700000|°/s
0.12500|Lenkrad_W_v_R|rechts|°/s
0.12900|Blinker_L_S|aus|---
0.12900|Blinker_R_S|aus|---
0.12900|Blinker_Warnblinker_S|aus|---
0.12900|Licht_Abblend_S|an|---
0.12900|Licht_Fern_S|aus|---
0.12900|Licht_Hupe_S|aus|---
0.12900|Licht_Nebelschluss_S|aus|---
0.12900|Licht_Stand_S|an|---
0.12900|Zusatz_GW_Gurt_WL_1|aus|
0.12900|Zusatz_GW_Nebelschluss_KL|aus|
0.13000|ESP_S_1|aktiv|---
0.13000|Motor_n|2283.00000000|1/min
0.13500|Lenkrad_W_B|3.98580000|°
0.13500|Lenkrad_W_R|links|---
0.13500|Lenkrad_W_v_B|4.80700000|°/s
0.13500|Lenkrad_W_v_R|rechts|°/s
0.13500|FZ_Gierrate|0.12000000|°/s
0.13500|FZ_a_y_1|-0.02775000|g
0.13600|ABS_E_1|regelt nicht|---
0.13600|Bremse_Pedal_S_2|nicht betaetigt|---
0.13600|FZ_a_y|0.03360000|g
0.13600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.13600|ABS_E|regelt nicht|---
0.13600|Bremse_Pedal_S|nicht betaetigt|---
0.13700|ESP_E_1|regelt nicht|---
0.13700|ESP_S|aktiv|
0.13700|Rad_n_HL|401.00000000|1/min
0.13700|Rad_n_HR|400.50000000|1/min
0.13700|Zusatz_Bremse_Moment|0.00000000|
0.13700|ABS_WL|aus|---
0.13700|Bremse_DOT_S|ok|---
0.13700|Bremse_Hand|geloest|---
0.13700|Bremse_Pedal_S_1|nicht betaetigt|---
0.13700|ESP_E|regelt nicht|---
0.13700|ESP_KL|aus|
0.13700|Rad_n_VL|397.50000000|1/min
0.13700|Rad_n_VL_1|397.50000000|1/min
0.13700|Rad_n_VR|397.00000000|1/min
0.13900|Gang_Getriebe|3|---
0.13900|Gang_Wahl|3|---
0.13900|Zusatz_GW_Werkstatt_KL|aus|
0.13900|Zusatz_Gang_Anzeige_KI|m 3|---
0.14000|DR_Gierrate|0.48828125|°/s
0.14000|DR_a_x|-0.05600000|g
0.14000|DR_a_y|0.02000000|g
0.14000|DR_a_z|0.94000000|g
0.14000|ESP_S_1|aktiv|---
0.14000|Motor_n|2283.00000000|1/min
0.14200|GW_ESP_KL|aus|
0.14200|Gaspedal_W|0.00000000|%
0.14200|Zusatz_Kickdown|nicht betaetigt|---
0.14400|Motor_KL|aus|
0.14400|Zusatz_GW_Batterie_WL|aus|
0.14400|Zusatz_GW_KuehlMtemp_WL|aus|
0.14400|Zusatz_GW_Oeldruck_WL|aus|
0.14500|Airbag_WL|aus|---
0.14500|Airbag_WL_1|aus|---
0.14500|Gurt_VL|gesteckt|---
0.14500|Zusatz_GW_Gurt_WL|aus|
0.14500|Lenkrad_W_B|3.98580000|°
0.14500|Lenkrad_W_R|links|---
0.14500|Lenkrad_W_v_B|0.00000000|°/s
0.14500|Lenkrad_W_v_R|links|°/s
0.14900|Blinker_L_S|aus|---
0.14900|Blinker_R_S|aus|---
0.14900|Blinker_Warnblinker_S|aus|---
