Version|5
Timestamp Start|20120404_052301
Timestamp Ende|20120404_052331
Triggernummer|4096
Trigger-Timestamp|20120404_052321
DD-Sensor|03B00055U
Konfiguration|03B00055U_20120315_120255.dcf
Triggergrund|Bremse_p_Lukas
GPS Start|20120404_052301|51.03289800|13.74997000
GPS Ende|20120404_052330|51.03488500|13.74945800
GPS Trigger|20120404_052321|51.03460300|13.74945500
GPS alt|||
Zeit|Signal|Wert|Einheit
0.05051|Airbag_WL|aus|---
0.05051|Airbag_WL_1|aus|---
0.05051|Gurt_VL|gesteckt|---
0.05051|Zusatz_GW_Gurt_WL|aus|
0.05332|ESP_S_1|aktiv|---
0.05332|Motor_n|1204.00000000|1/min
0.05666|Lenkrad_W_B|4.94940000|°
0.05666|Lenkrad_W_R|links|---
0.05666|Lenkrad_W_v_B|9.61400000|°/s
0.05666|Lenkrad_W_v_R|links|°/s
0.05745|Blinker_L_S|aus|---
0.05745|Blinker_R_S|aus|---
0.05745|Blinker_Warnblinker_S|aus|---
0.05745|Licht_Abblend_S|aus|---
0.05745|Licht_Fern_S|aus|---
0.05745|Licht_Hupe_S|aus|---
0.05745|Licht_Nebelschluss_S|aus|---
0.05745|Licht_Stand_S|aus|---
0.05745|Zusatz_GW_Gurt_WL_1|aus|
0.05745|Zusatz_GW_Nebelschluss_KL|aus|
0.06000|DR_Gierrate|-0.48828125|°/s
0.06000|DR_a_x|-0.00800000|g
0.06000|DR_a_y|0.08000000|g
0.06000|DR_a_z|0.93200000|g
0.06308|Gang_Getriebe|3|---
0.06308|Gang_Wahl|3|---
0.06308|Zusatz_GW_Werkstatt_KL|aus|
0.06308|Zusatz_Gang_Anzeige_KI|a 3|---
0.06329|ESP_S_1|aktiv|---
0.06329|Motor_n|1211.00000000|1/min
0.06653|GW_ESP_KL|aus|
0.06653|Gaspedal_W|0.00000000|%
0.06653|Zusatz_Kickdown|nicht betaetigt|---
0.06677|Lenkrad_W_B|6.43860000|°
0.06677|Lenkrad_W_R|links|---
0.06677|Lenkrad_W_v_B|24.47200000|°/s
0.06677|Lenkrad_W_v_R|links|°/s
0.06712|Motor_KL|aus|
0.06712|Zusatz_GW_Batterie_WL|aus|
0.06712|Zusatz_GW_KuehlMtemp_WL|aus|
0.06712|Zusatz_GW_Oeldruck_WL|aus|
0.06761|ABS_E_1|regelt nicht|---
0.06761|Bremse_Pedal_S_2|nicht betaetigt|---
0.06761|FZ_a_y|0.01640000|g
0.06761|Zusatz_Bremse_Licht_S|nicht aktiv|
0.06786|ABS_E|regelt nicht|---
0.06786|Bremse_Pedal_S|nicht betaetigt|---
0.06810|FZ_Gierrate|0.02500000|°/s
0.06810|FZ_a_y_1|-0.00071000|g
0.06882|ESP_E_1|regelt nicht|---
0.06882|ESP_S|aktiv|
0.06882|Rad_n_HL|344.00000000|1/min
0.06882|Rad_n_HR|345.00000000|1/min
0.06882|Zusatz_Bremse_Moment|0.00000000|
0.06906|ABS_WL|aus|---
0.06906|Bremse_DOT_S|ok|---
0.06906|Bremse_Hand|geloest|---
0.06906|Bremse_Pedal_S_1|nicht betaetigt|---
0.06906|ESP_E|regelt nicht|---
0.06906|ESP_KL|aus|
0.06906|Rad_n_VL|344.00000000|1/min
0.06906|Rad_n_VL_1|344.00000000|1/min
0.06906|Rad_n_VR|344.00000000|1/min
0.07048|Airbag_WL|aus|---
0.07048|Airbag_WL_1|aus|---
0.07048|Gurt_VL|gesteckt|---
0.07048|Zusatz_GW_Gurt_WL|aus|
0.07361|ESP_S_1|aktiv|---
0.07361|Motor_n|1211.00000000|1/min
0.07673|Lenkrad_W_B|6.92040000|°
0.07673|Lenkrad_W_R|links|---
0.07673|Lenkrad_W_v_B|29.27900000|°/s
0.07673|Lenkrad_W_v_R|links|°/s
0.07748|Blinker_L_S|aus|---
0.07748|Blinker_R_S|aus|---
0.07748|Blinker_Warnblinker_S|aus|---
0.07748|Licht_Abblend_S|aus|---
0.07748|Licht_Fern_S|aus|---
0.07748|Licht_Hupe_S|aus|---
0.07748|Licht_Nebelschluss_S|aus|---
0.07748|Licht_Stand_S|aus|---
0.07748|Zusatz_GW_Gurt_WL_1|aus|
0.07748|Zusatz_GW_Nebelschluss_KL|aus|
0.08000|DR_Gierrate|-0.24414062|°/s
0.08000|DR_a_x|0.01200000|g
0.08000|DR_a_y|0.08400000|g
0.08000|DR_a_z|0.94000000|g
0.08433|Gang_Getriebe|3|---
0.08433|Gang_Wahl|3|---
0.08433|Zusatz_GW_Werkstatt_KL|aus|
0.08433|Zusatz_Gang_Anzeige_KI|a 3|---
0.08455|ESP_S_1|aktiv|---
0.08455|Motor_n|1210.00000000|1/min
0.08709|Lenkrad_W_B|7.40220000|°
0.08709|Lenkrad_W_R|links|---
0.08709|Lenkrad_W_v_B|34.08600000|°/s
0.08709|Lenkrad_W_v_R|links|°/s
0.08757|ABS_E_1|regelt nicht|---
0.08757|Bremse_Pedal_S_2|nicht betaetigt|---
0.08757|FZ_a_y|0.03360000|g
0.08757|Zusatz_Bremse_Licht_S|nicht aktiv|
0.08780|GW_ESP_KL|aus|
0.08780|Gaspedal_W|0.00000000|%
0.08780|Zusatz_Kickdown|nicht betaetigt|---
0.08802|FZ_Gierrate|-0.22000000|°/s
0.08802|FZ_a_y_1|-0.00617000|g
0.08852|ABS_E|regelt nicht|---
0.08852|Bremse_Pedal_S|nicht betaetigt|---
0.08900|ESP_E_1|regelt nicht|---
0.08900|ESP_S|aktiv|
0.08900|Rad_n_HL|344.00000000|1/min
0.08900|Rad_n_HR|346.00000000|1/min
0.08900|Zusatz_Bremse_Moment|0.00000000|
0.08924|Airbag_WL|aus|---
0.08924|Airbag_WL_1|aus|---
0.08924|Gurt_VL|gesteckt|---
0.08924|Zusatz_GW_Gurt_WL|aus|
0.08948|ABS_WL|aus|---
0.08948|Bremse_DOT_S|ok|---
0.08948|Bremse_Hand|geloest|---
0.08948|Bremse_Pedal_S_1|nicht betaetigt|---
0.08948|ESP_E|regelt nicht|---
0.08948|ESP_KL|aus|
0.08948|Rad_n_VL|344.00000000|1/min
0.08948|Rad_n_VL_1|344.00000000|1/min
0.08948|Rad_n_VR|343.50000000|1/min
0.09043|Motor_KL|aus|
0.09043|Zusatz_GW_Batterie_WL|aus|
0.09043|Zusatz_GW_KuehlMtemp_WL|aus|
0.09043|Zusatz_GW_Oeldruck_WL|aus|
0.09364|ESP_S_1|aktiv|---
0.09364|Motor_n|1212.00000000|1/min
0.09662|Lenkrad_W_B|7.97160000|°
0.09662|Lenkrad_W_R|links|---
0.09662|Lenkrad_W_v_B|39.76700000|°/s
0.09662|Lenkrad_W_v_R|links|°/s
0.09748|Blinker_L_S|aus|---
0.09748|Blinker_R_S|aus|---
0.09748|Blinker_Warnblinker_S|aus|---
0.09748|Licht_Abblend_S|aus|---
0.09748|Licht_Fern_S|aus|---
0.09748|Licht_Hupe_S|aus|---
0.09748|Licht_Nebelschluss_S|aus|---
0.09748|Licht_Stand_S|aus|---
0.09748|Zusatz_GW_Gurt_WL_1|aus|
0.09748|Zusatz_GW_Nebelschluss_KL|aus|
0.10000|DR_Gierrate|0.24414062|°/s
0.10000|DR_a_x|0.00400000|g
0.10000|DR_a_y|0.10400000|g
0.10000|DR_a_z|0.98800000|g
0.10333|Gang_Getriebe|3|---
0.10333|Gang_Wahl|3|---
0.10333|Zusatz_GW_Werkstatt_KL|aus|
0.10333|Zusatz_Gang_Anzeige_KI|a 3|---
0.10355|ESP_S_1|aktiv|---
0.10355|Motor_n|1207.00000000|1/min
0.10674|Lenkrad_W_B|8.45340000|°
0.10674|Lenkrad_W_R|links|---
0.10674|Lenkrad_W_v_B|44.57400000|°/s
0.10674|Lenkrad_W_v_R|links|°/s
0.10697|GW_ESP_KL|aus|
0.10697|Gaspedal_W|0.00000000|%
0.10697|Zusatz_Kickdown|nicht betaetigt|---
0.10721|Motor_KL|aus|
0.10721|Zusatz_GW_Batterie_WL|aus|
0.10721|Zusatz_GW_KuehlMtemp_WL|aus|
0.10721|Zusatz_GW_Oeldruck_WL|aus|
0.10769|ABS_E_1|regelt nicht|---
0.10769|Bremse_Pedal_S_2|nicht betaetigt|---
0.10769|FZ_a_y|0.03360000|g
0.10769|Zusatz_Bremse_Licht_S|nicht aktiv|
0.10792|ABS_E|regelt nicht|---
0.10792|Bremse_Pedal_S|nicht betaetigt|---
0.10815|FZ_Gierrate|-0.15500000|°/s
0.10815|FZ_a_y_1|-0.02190000|g
0.10889|ESP_E_1|regelt nicht|---
0.10889|ESP_S|aktiv|
0.10889|Rad_n_HL|345.50000000|1/min
0.10889|Rad_n_HR|344.00000000|1/min
0.10889|Zusatz_Bremse_Moment|0.00000000|
0.10913|Airbag_WL|aus|---
0.10913|Airbag_WL_1|aus|---
0.10913|Gurt_VL|gesteckt|---
0.10913|Zusatz_GW_Gurt_WL|aus|
0.10936|ABS_WL|aus|---
0.10936|Bremse_DOT_S|ok|---
0.10936|Bremse_Hand|geloest|---
0.10936|Bremse_Pedal_S_1|nicht betaetigt|---
0.10936|ESP_E|regelt nicht|---
0.10936|ESP_KL|aus|
0.10936|Rad_n_VL|344.00000000|1/min
0.10936|Rad_n_VL_1|344.00000000|1/min
0.10936|Rad_n_VR|343.00000000|1/min
0.11043|Batterie_U|14.30000000|V
0.11043|FZ_v|38.00000000|km/h
0.11043|KM|29964.00000000|km
0.11383|ESP_S_1|aktiv|---
0.11383|Motor_n|1205.00000000|1/min
0.11670|Lenkrad_W_B|8.93520000|°
0.11670|Lenkrad_W_R|links|---
0.11670|Lenkrad_W_v_B|49.38100000|°/s
0.11670|Lenkrad_W_v_R|links|°/s
0.11762|Blinker_L_S|aus|---
0.11762|Blinker_R_S|aus|---
0.11762|Blinker_Warnblinker_S|aus|---
0.11762|Licht_Abblend_S|aus|---
0.11762|Licht_Fern_S|aus|---
0.11762|Licht_Hupe_S|aus|---
0.11762|Licht_Nebelschluss_S|aus|---
0.11762|Licht_Stand_S|aus|---
0.11762|Zusatz_GW_Gurt_WL_1|aus|
0.11762|Zusatz_GW_Nebelschluss_KL|aus|
0.11781|Temperatur_Aussen|8.50000000|°C
0.11781|Zusatz_Licht_Instrumente|0.00000000|%
0.12000|DR_Gierrate|0.24414062|°/s
0.12000|DR_a_x|0.00000000|g
