Version|5
Timestamp Start|20110126_212236
Timestamp Ende|20110126_212306
Triggernummer|152
Trigger-Timestamp|20110126_212256
DD-Sensor|
Konfiguration|
Triggergrund|Verzögerung
GPS Start|20110126_212237|51.03374000|13.73071800
GPS Ende|20110126_212306|51.03053600|13.73057800
GPS Trigger|20110126_212257|51.03099300|13.73044000
GPS alt|||
Zeit|Signal|Wert|Einheit
0.09000|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.09118|Rad_n_HL|548.00000000|1/min
0.09118|Rad_n_HR|545.50000000|1/min
0.09118|Rad_n_VL|539.50000000|1/min
0.09118|Rad_n_VR|538.00000000|1/min
0.09235|ABS_E|regelt nicht|---
0.09235|Bremse_DOT_S|ok|---
0.09235|Bremse_Pedal_S|nicht betaetigt|---
0.09235|ESP_E|regelt nicht|---
0.09235|FZ_v_1|56.00000000|km/h
0.09235|GW_ABS_WL|aus|---
0.09235|GW_ABS_WL_1|aus|---
0.09235|GW_ESP_KL|aus|---
0.09353|FZ_a_y|0.00000000|g
0.09353|FZ_a_y_2|-0.06500000|g
0.09471|Blinker_L_S|aus|---
0.09471|Blinker_R_S|aus|---
0.09471|Blinker_Warnblinker_S|aus|---
0.09471|Bremse_Hand|geloest|---
0.09471|KM|35686.00000000|km
0.09471|Licht_Stand_S|an|---
0.09471|Zusatz_Anlassschalter|aus|
0.09471|Zusatz_Heckscheibe_Heizung|aus|
0.09471|Zusatz_Klimaanlage|aus|
0.09471|Zusatz_Lueftung_Innenraum_S|an|
0.09471|Zusatz_Tuer_links|geschlossen|
0.09471|Zusatz_Tuer_rechts|geschlossen|
0.09588|Lenkrad_W_B|0.00000000|°
0.09588|Lenkrad_W_R|links|---
0.09588|Lenkrad_W_v_B|0.00000000|°/s
0.09588|Lenkrad_W_v_R|links|---
0.09706|FZ_v|56.00000000|km/h
0.09706|Temperatur_Aussen|1.00000000|°C
0.09824|Bremse_Pedal_S_1|nicht betaetigt|---
0.09824|FZ_a_y_1|0.00000000|g
0.09824|GW_ESP_KL_2|an|
0.09824|Gaspedal_W|38.40000000|%
0.10176|DR_Gierrate|0.48828125|°/s
0.10294|DR_a_x|-0.00800000|g
0.10294|DR_a_y|0.03200000|g
0.10294|DR_a_z|1.00000000|g
0.10412|Lenkrad_W_B|0.00000000|°
0.10412|Lenkrad_W_R|links|---
0.10412|Lenkrad_W_v_B|0.00000000|°/s
0.10412|Lenkrad_W_v_R|links|---
0.10529|Gang_Getriebe|5|---
0.10529|Gang_Wahl|5|---
0.10529|Motor_n|2089.00000000|1/min
0.10529|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.10882|Bremse_Pedal_S_1|nicht betaetigt|---
0.10882|FZ_a_y_1|0.00000000|g
0.10882|GW_ESP_KL_2|an|
0.10882|Gaspedal_W|38.40000000|%
0.11000|GW_ESP_KL_1|aus|
0.11000|Motor_KL|aus|---
0.11000|Motor_n_1|2075.00000000|1/min
0.11000|Zusatz_GW_Batterie_WL|aus|
0.11000|Zusatz_GW_Oeldruck_WL|aus|
0.11000|Zusatz_Gang_Anzeige_KI|5|---
0.11000|Zusatz_Motor_Kuehlung_S|aus|
0.11000|Zusatz_Motor_Temperatur|71.00000000|°C
0.11000|Zusatz_Parksperre|Parksperre aus|
0.11000|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.11118|Rad_n_HL|547.00000000|1/min
0.11118|Rad_n_HR|547.00000000|1/min
0.11118|Rad_n_VL|537.50000000|1/min
0.11118|Rad_n_VR|537.50000000|1/min
0.11235|ABS_E|regelt nicht|---
0.11235|Bremse_DOT_S|ok|---
0.11235|Bremse_Pedal_S|nicht betaetigt|---
0.11235|ESP_E|regelt nicht|---
0.11235|FZ_v_1|56.00000000|km/h
0.11235|GW_ABS_WL|aus|---
0.11235|GW_ABS_WL_1|aus|---
0.11235|GW_ESP_KL|aus|---
0.11353|FZ_a_y|0.00000000|g
0.11353|FZ_a_y_2|-0.06500000|g
0.11471|Blinker_L_S|aus|---
0.11471|Blinker_R_S|aus|---
0.11471|Blinker_Warnblinker_S|aus|---
0.11471|Bremse_Hand|geloest|---
0.11471|KM|35686.00000000|km
0.11471|Licht_Stand_S|an|---
0.11471|Zusatz_Anlassschalter|aus|
0.11471|Zusatz_Heckscheibe_Heizung|aus|
0.11471|Zusatz_Klimaanlage|aus|
0.11471|Zusatz_Lueftung_Innenraum_S|an|
0.11471|Zusatz_Tuer_links|geschlossen|
0.11471|Zusatz_Tuer_rechts|geschlossen|
0.11588|Lenkrad_W_B|0.00000000|°
0.11588|Lenkrad_W_R|links|---
0.11588|Lenkrad_W_v_B|0.00000000|°/s
0.11588|Lenkrad_W_v_R|links|---
0.11706|Bremse_Pedal_S_1|nicht betaetigt|---
0.11706|FZ_a_y_1|0.00000000|g
0.11706|GW_ESP_KL_2|an|
0.11706|Gaspedal_W|38.40000000|%
0.11941|FZ_v|56.00000000|km/h
0.11941|Temperatur_Aussen|1.00000000|°C
0.12062|DR_Gierrate|0.00000000|°/s
0.12187|DR_a_x|-0.00400000|g
0.12187|DR_a_y|0.02800000|g
0.12187|DR_a_z|0.99600000|g
0.12437|Lenkrad_W_B|0.00000000|°
0.12437|Lenkrad_W_R|links|---
0.12437|Lenkrad_W_v_B|0.00000000|°/s
0.12437|Lenkrad_W_v_R|links|---
0.12562|Gang_Getriebe|5|---
0.12562|Gang_Wahl|5|---
0.12562|Motor_n|2084.00000000|1/min
0.12562|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.12937|Bremse_Pedal_S_1|nicht betaetigt|---
0.12937|FZ_a_y_1|0.00000000|g
0.12937|GW_ESP_KL_2|an|
0.12937|Gaspedal_W|38.40000000|%
0.13062|GW_ESP_KL_1|aus|
0.13062|Motor_KL|aus|---
0.13062|Motor_n_1|2075.00000000|1/min
0.13062|Zusatz_GW_Batterie_WL|aus|
0.13062|Zusatz_GW_Oeldruck_WL|aus|
0.13062|Zusatz_Gang_Anzeige_KI|5|---
0.13062|Zusatz_Motor_Kuehlung_S|aus|
0.13062|Zusatz_Motor_Temperatur|71.00000000|°C
0.13062|Zusatz_Parksperre|Parksperre aus|
0.13062|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.13187|Rad_n_HL|544.50000000|1/min
0.13187|Rad_n_HR|546.50000000|1/min
0.13187|Rad_n_VL|537.50000000|1/min
0.13187|Rad_n_VR|537.50000000|1/min
0.13312|ABS_E|regelt nicht|---
0.13312|Bremse_DOT_S|ok|---
0.13312|Bremse_Pedal_S|nicht betaetigt|---
0.13312|ESP_E|regelt nicht|---
0.13312|FZ_v_1|56.00000000|km/h
0.13312|GW_ABS_WL|aus|---
0.13312|GW_ABS_WL_1|aus|---
0.13312|GW_ESP_KL|aus|---
0.13437|FZ_a_y|0.00000000|g
0.13437|FZ_a_y_2|-0.05200000|g
0.13562|Blinker_L_S|aus|---
0.13562|Blinker_R_S|aus|---
0.13562|Blinker_Warnblinker_S|aus|---
0.13562|Bremse_Hand|geloest|---
0.13562|KM|35686.00000000|km
0.13562|Licht_Stand_S|an|---
0.13562|Zusatz_Anlassschalter|aus|
0.13562|Zusatz_Heckscheibe_Heizung|aus|
0.13562|Zusatz_Klimaanlage|aus|
0.13562|Zusatz_Lueftung_Innenraum_S|an|
0.13562|Zusatz_Tuer_links|geschlossen|
0.13562|Zusatz_Tuer_rechts|geschlossen|
0.13687|Lenkrad_W_B|0.00000000|°
0.13687|Lenkrad_W_R|links|---
0.13687|Lenkrad_W_v_B|0.00000000|°/s
0.13687|Lenkrad_W_v_R|links|---
0.13812|Bremse_Pedal_S_1|nicht betaetigt|---
0.13812|FZ_a_y_1|0.00000000|g
0.13812|GW_ESP_KL_2|an|
0.13812|Gaspedal_W|38.40000000|%
0.14176|DR_Gierrate|0.24414062|°/s
0.14294|DR_a_x|-0.00800000|g
0.14294|DR_a_y|0.04800000|g
0.14294|DR_a_z|1.06000000|g
0.14412|Lenkrad_W_B|0.00000000|°
0.14412|Lenkrad_W_R|links|---
0.14412|Lenkrad_W_v_B|0.00000000|°/s
0.14412|Lenkrad_W_v_R|links|---
0.14529|FZ_v|56.00000000|km/h
0.14529|Temperatur_Aussen|1.00000000|°C
0.14647|Gang_Getriebe|5|---
0.14647|Gang_Wahl|5|---
0.14647|Motor_n|2078.00000000|1/min
0.14647|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.15000|Bremse_Pedal_S_1|nicht betaetigt|---
0.15000|FZ_a_y_1|0.00000000|g
0.15000|GW_ESP_KL_2|an|
0.15000|Gaspedal_W|38.40000000|%
0.15118|GW_ESP_KL_1|aus|
0.15118|Motor_KL|aus|---
0.15118|Motor_n_1|2075.00000000|1/min
0.15118|Zusatz_GW_Batterie_WL|aus|
0.15118|Zusatz_GW_Oeldruck_WL|aus|
0.15118|Zusatz_Gang_Anzeige_KI|5|---
0.15118|Zusatz_Motor_Kuehlung_S|aus|
0.15118|Zusatz_Motor_Temperatur|71.00000000|°C
0.15118|Zusatz_Parksperre|Parksperre aus|
0.15118|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.15235|Rad_n_HL|545.00000000|1/min
0.15235|Rad_n_HR|545.00000000|1/min
