Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.08233|Licht_Nebelschluss_S|aus|---
0.08233|Licht_Stand_S|an|---
0.08233|Zusatz_GW_Gurt_WL_1|aus|
0.08233|Zusatz_GW_Nebelschluss_KL|aus|
0.08367|ABS_E_1|regelt nicht|---
0.08367|Bremse_Pedal_S_2|nicht betaetigt|---
0.08367|FZ_a_y|-0.00080000|g
0.08367|Zusatz_Bremse_Licht_S|nicht aktiv|
0.08433|ABS_E|regelt nicht|---
0.08433|Bremse_Pedal_S|nicht betaetigt|---
0.08500|FZ_Gierrate|0.37500000|°/s
0.08500|FZ_a_y_1|-0.02892000|g
0.08700|ESP_E_1|regelt nicht|---
0.08700|ESP_S|aktiv|
0.08700|Rad_n_HL|382.00000000|1/min
0.08700|Rad_n_HR|381.50000000|1/min
0.08700|Zusatz_Bremse_Moment|0.00000000|
0.08767|ABS_WL|aus|---
0.08767|Bremse_DOT_S|ok|---
0.08767|Bremse_Hand|geloest|---
0.08767|Bremse_Pedal_S_1|nicht betaetigt|---
0.08767|ESP_E|regelt nicht|---
0.08767|ESP_KL|aus|
0.08767|Rad_n_VL|385.50000000|1/min
0.08767|Rad_n_VL_1|385.50000000|1/min
0.08767|Rad_n_VR|385.50000000|1/min
0.08900|Lenkrad_W_B|4.46760000|°
0.08900|Lenkrad_W_R|links|---
0.08900|Lenkrad_W_v_B|0.00000000|°/s
0.08900|Lenkrad_W_v_R|links|°/s
0.09033|Gang_Getriebe|4|---
0.09033|Gang_Wahl|4|---
0.09033|Zusatz_GW_Werkstatt_KL|aus|
0.09033|Zusatz_Gang_Anzeige_KI|m 4|---
0.09100|Airbag_WL|aus|---
